Thread ID: 131290
Total: 0.030705

 %self     total     self     wait    child    calls  name
  0.18      0.00     0.00     0.00     0.00        6  <Object::ActionController::Routing::Route>#recognize
  0.18      0.00     0.00     0.00     0.00        6  <Object::ActionController::Routing::Route>#recognize
  0.17      0.01     0.00     0.00     0.01        2  ActionView::TemplateHandlers::ERB#compile
  0.17      0.00     0.00     0.00     0.00        2  ERB#set_eoutvar
  0.17      0.00     0.00     0.00     0.00        6  <Object::ActionController::Routing::Route>#recognize
  0.17      0.00     0.00     0.00     0.00       12  ActionController::Base#response
  0.17      0.00     0.00     0.00     0.00        3  Symbol#to_proc
  0.17      0.00     0.00     0.00     0.00       17  Kernel#is_a?
  0.16      0.00     0.00     0.00     0.00        1  ActionController::AbstractRequest#_unmemoized_remote_ip
  0.16      0.00     0.00     0.00     0.00       16  Hash#delete
  0.16      0.00     0.00     0.00     0.00        1  <Module::ActiveSupport::Deprecation>#silence
  0.16      0.00     0.00     0.00     0.00        4  ActionController::AbstractRequest#request_method
  0.16      0.00     0.00     0.00     0.00       21  Kernel#hash
  0.15      0.00     0.00     0.00     0.00        1  CGI#initialize_without_stdinput
  0.15      0.02     0.00     0.00     0.02        1  ActionController::Base#process_without_filters
  0.15      0.00     0.00     0.00     0.00        1  ActionView::Base::CompiledTemplates#_run_erb_47opt47local47lib47ruby47gems47146847gems47actionpack45246246247lib47action_controller47templates47rescues47routing_error46erb
  0.15      0.00     0.00     0.00     0.00        8  Kernel#send-1
  0.15      0.00     0.00     0.00     0.00       20  Method#arity
  0.15      0.00     0.00     0.00     0.00       23  NilClass#nil?
  0.15      0.00     0.00     0.00     0.00       16  <Class::Thread>#current
  0.15      0.00     0.00     0.00     0.00       24  StringScanner#eos?
  0.14      0.00     0.00     0.00     0.00        1  ActionController::RackRequest#stale_session_check!
  0.14      0.00     0.00     0.00     0.00        6  Array#hash
  0.14      0.00     0.00     0.00     0.00       16  Kernel#class
  0.14      0.00     0.00     0.00     0.00       20  Array#size
  0.14      0.00     0.00     0.00     0.00        1  ActionController::Base#log_processing_for_request_id
  0.14      0.00     0.00     0.00     0.00        1  ActionController::Base#render_for_text
  0.14      0.01     0.00     0.00     0.00        2  ERB#initialize
  0.14      0.00     0.00     0.00     0.00        4  ActionView::Base#template_format
  0.14      0.00     0.00     0.00     0.00        3  ActiveSupport::BufferedLogger#auto_flush
  0.13      0.00     0.00     0.00     0.00        7  ActionController::RackResponse#status
  0.13      0.00     0.00     0.00     0.00        2  ActionController::AbstractResponse#content_type=
  0.13      0.00     0.00     0.00     0.00        2  ERB::Compiler::Buffer#close
  0.13      0.00     0.00     0.00     0.00        1  ActionController::SessionManagement::ClassMethods#session_options_for
  0.13      0.00     0.00     0.00     0.00        2  ActiveSupport::Callbacks::CallbackChain#run
  0.13      0.00     0.00     0.00     0.00        4  ActionView::PathSet::Path#[]
  0.13      0.00     0.00     0.00     0.00        2  CGI::Session::CookieStore#generate_digest
  0.13      0.01     0.00     0.00     0.01        1  ActionController::Rescue#rescue_action_without_handler
  0.12      0.00     0.00     0.00     0.00        1  ActionController::RackResponse#set_cookies!
  0.12      0.00     0.00     0.00     0.00        5  Hash#merge
  0.12      0.00     0.00     0.00     0.00        1  ActionController::RackRequest#cookies
  0.12      0.00     0.00     0.00     0.00       16  MatchData#[]
  0.12      0.00     0.00     0.00     0.00        2  <Class::CGI::Cookie>#parse
  0.12      0.00     0.00     0.00     0.00        1  ActionController::Routing::RouteSet#recognize_path
  0.12      0.00     0.00     0.00     0.00        3  Module#extend_object
  0.12      0.00     0.00     0.00     0.00       20  Symbol#===
  0.12      0.01     0.00     0.00     0.01        1  ActionController::Base#render_for_file
  0.12      0.00     0.00     0.00     0.00        2  ERB::Compiler#initialize
  0.11      0.00     0.00     0.00     0.00       12  String#+
  0.11      0.00     0.00     0.00     0.00        2  ActionView::Base#_set_controller_content_type
  0.11      0.00     0.00     0.00     0.00        5  Proc#call
  0.11      0.00     0.00     0.00     0.00        1  ActionController::Base#initialize_template_class
  0.11      0.00     0.00     0.00     0.00        1  CGI::QueryExtension#initialize_query
  0.11      0.00     0.00     0.00     0.00        1  ActionController::Base#log_processing_for_parameters
  0.11      0.00     0.00     0.00     0.00        2  ActiveSupport::Callbacks#run_callbacks
  0.11      0.00     0.00     0.00     0.00        4  <Class::CGI>#unescape
  0.11      0.00     0.00     0.00     0.00        2  ActionView::Template#path_without_format_and_extension
  0.11      0.00     0.00     0.00     0.00        2  <Class::OpenSSL::HMAC>#hexdigest
  0.11      0.00     0.00     0.00     0.00       14  String#size
  0.11      0.00     0.00     0.00     0.00       10  String#dump
  0.11      0.01     0.00     0.00     0.01        2  ActionView::Renderable#compiled_source
  0.11      0.00     0.00     0.00     0.00        2  ActionView::Template#path
  0.11      0.00     0.00     0.00     0.00       17  Fixnum#+
  0.10      0.00     0.00     0.00     0.00       18  Fixnum#<
  0.10      0.00     0.00     0.00     0.00        2  Object#returning
  0.10      0.02     0.00     0.00     0.02        1  ActionController::Integration::Runner#get
  0.10      0.00     0.00     0.00     0.00        1  ActionView::Base#_copy_ivars_from_controller
  0.10      0.01     0.00     0.00     0.01        6  Kernel#send
  0.10      0.00     0.00     0.00     0.00        2  ActiveSupport::Callbacks::Callback#evaluate_method
  0.10      0.01     0.00     0.00     0.01        2  ActiveSupport::Memoizable::Freezable#freeze
  0.10      0.00     0.00     0.00     0.00        2  HashWithIndifferentAccess#initialize
  0.10      0.00     0.00     0.00     0.00        1  ActionController::AbstractRequest#_unmemoized_path
  0.10      0.00     0.00     0.00     0.00        2  ActionView::Template#path_without_extension
  0.10      0.00     0.00     0.00     0.00       12  Kernel#kind_of?
  0.10      0.00     0.00     0.00     0.00        4  ActionView::PathSet#[]
  0.10      0.00     0.00     0.00     0.00       11  <Class::Hash>#allocate
  0.10      0.00     0.00     0.00     0.00        1  ActionController::RackResponse#out
  0.10      0.00     0.00     0.00     0.00        1  CGI::Session::CookieStore#close
  0.10      0.00     0.00     0.00     0.00        5  ActionController::AbstractResponse#status
  0.10      0.00     0.00     0.00     0.00        1  ActionView::Base::CompiledTemplates#_run_erb_47opt47local47lib47ruby47gems47146847gems47actionpack45246246247lib47action_controller47templates47rescues47layout46erb
  0.10      0.00     0.00     0.00     0.00        4  Array#each-1
